ID	Command (Tiếng Việt)	Command (Tiếng Anh)	Command (Tiếng Pháp)	Command (German)	Ghi chú 
	Tắt sưởi toàn bộ vị trí khách ngồi	Stop all passenger seat heaters please 	Arrêtez le chauffage de tous les sièges passagers	Mach die Passagiersitzheizungen aus	
	Tắt sưởi các vị trí giành cho khách	I want to turn off all passenger seat heaters 	Désactivez le chauffage de tous les sièges passagers	Ich brauche die Passagiersitzheizungen nicht mehr	
	Ngừng sưởi toàn bộ ghế khách	Off all passenger seat heaters right now 	Veuillez arrêter tous les chauffages de siège passagers maintenant	Passagiersitzheizungen aus bitte	
	Ngừng sưởi ghế khách	All passenger seat heaters Off	Annulez le chauffage de tous les sièges passagers	Kannst du die Passagiersitzheizungen ausschalten	
	Ngừng sưởi tất cả ghế khách		Désactive le chauffage de tous les sièges passagers pour moi		
	Ngừng sưởi toàn bộ vị trí khách ngồi		Arrête tous les chauffages de siège passagers tout de suite		
	Ngừng sưởi các vị trí giành cho khách		Annule le chauffage de tous les sièges passagers		
100	Bật sưởi toàn bộ ghế sau | Bật sưởi ghế sau	All rear heated seat on/ all rear seat heaters on 	Activer le chauffage de tous les sièges arrières/Allumer le chauffage de tous les sièges arrières	Schalte Rücksitzheizung ein/ Aktivier Rücksitzheizung 	
	Bật sưởi toàn bộ ghế sau	Turn on all rear seat heaters 	Allumez le chauffage de tous les sièges arrières	Schalte Rücksitzheizung ein	
	Bật sưởi ghế sau	Turn on rear sear heaters 	Je veux allumer tous les sièges chauffants arrières	Aktivier Rücksitzheizung 	
	Bật sưởi toàn bộ ghế sau	I want to turn on all rear seat heaters 	Pouvez-vous activer tous les chauffages de siège arrière	Hilf mir beim Einschalten der Rücksitzheizung 	
	Bật sưởi toàn bộ ghế đằng sau	Can you please turn on all rear seat heaters 	Active le chauffage de tous les sièges arrières 	Mach die Rücksitzheizung an	
	Bật sưởi toàn bộ ghế đằng sau	Start all rear seat heaters 	Activez le chauffage de tous les sièges arrières 	Ich brauche die Rücksitzheizung 	
	Mở sưởi toàn bộ ghế sau	All rear heated seat on 	Veuillez allumer tous les chauffages de siège arrière maintenant	Rücksitzheizung an bitte	
	Mở sưởi ghế sau	Turn on all rear seat heaters for me 	Allume le chauffage de tous les sièges arrières 	Kannst du die Rücksitzheizung einschalten	
	Mở sưởi toàn bộ ghế sau xe	Please start all rear seat heaters now 	Peux-tu activer le chauffage de tous les sièges arrières ?		
	Mở sưởi toàn bộ ghế đằng sau	I want all rear seat heaters ON 	Peux-tu allumer tous les chauffages de siège arrière maintenant?		
	Mở sưởi toàn bộ ghế đằng sau cho xe		Active le chauffage de tous les sièges arrières pour moi		
101	Tắt sưởi toàn bộ ghế sau | Tắt sưởi ghế sau	All rear heated seat off/ all rear seat heaters off	Éteindre le chauffage de tous les sièges arrières	Schalte Rücksitzheizung aus/ Deaktivier Rücksitzheizung 	
	Tắt sưởi toàn bộ ghế sau	Turn off all rear seat heaters 	Éteignez le chauffage de tous les sièges arrières	Schalte Rücksitzheizung aus	
	Tắt sưởi ghế sau	Turn off rear sear heaters 	Je veux éteindre tous les sièges chauffants arrières	Deaktivier Rücksitzheizung 	
	Tắt sưởi toàn bộ ghế sau	I want to turn off all rear seat heaters 	Pouvez-vous éteindre tous les chauffages de siège arrière	Hilf mir beim Ausschalten der Rücksitzheizung 	
	Tắt sưởi toàn bộ ghế đằng sau	Can you please turn off all rear seat heaters 	Arrêtez le chauffage de tous les sièges arrières 	Mach die Rücksitzheizung aus	
	Tắt sưởi toàn bộ ghế đằng sau	Stop all rear seat heaters 	Désactivez le chauffage de tous les sièges arrières 	Ich brauche die Rücksitzheizung nicht mehr	
	Ngưng sưởi toàn bộ ghế sau	All rear heated seat off	Veuillez arrêter tous les chauffages de siège arrière maintenant	Rücksitzheizung aus bitte	
	Ngưng sưởi ghế sau	Turn off all rear seat heaters for me 	Annulez le chauffage de tous les sièges arrières 	Kannst du Rücksitzheizung ausschalten	
	Ngưng sưởi toàn bộ ghế sau khu vực xe	Please stop all rear seat heaters now 	Désactive le chauffage de tous les sièges arrières 		
	Ngưng sưởi toàn bộ ghế đằng sau	I want all rear seat heaters OFF	Arrête tous les chauffages de siège arrière maintenant		
	Ngưng sưởi toàn bộ ghế đằng sau cho xe		Annule le chauffage de tous les sièges arrières 		
102	Bật làm mát toàn bộ ghế khách | Bật làm mát ghế khách	All passenger cooled seat on/ All passenger seat coolers on 	Allumer tous les refroidisseurs de siège passagers	Schalte alle Kühler der Passagiersitze ein	
	Bật làm mát toàn bộ ghế khách	Turn on all passenger seat coolers 	Je veux allumer les refroidisseurs de sièges passagers	Schalte alle Kühler der Passagiersitze ein	
	Bật làm mát ghế khách	Make all passenger seat cool please 	Veuillez activer les refroidisseurs de tous les sièges passagers 	Aktivier alle Kühler der Passagiersitze	
	Bật làm mát tất cả ghế khách	I want to turn on all passenger sear coolers right now 	Activez tous les refroidisseurs de sièges passagers	Ich brauche alle Kühler der Passagiersitze	
	Bật làm mát toàn bộ vị trí khách ngồi	Please turn on all passenger seat coolers 	Allume les refroidisseurs de tous les sièges passagers	Mach alle Kühler der Passagiersitze an	
	Bật làm mát các vị trí giành cho khách	All passenger cooled seat on 	J'ai besoin des refroidisseurs de sièges passagers	Ich möchte alle Kühler der Passagiersitze einschalten	
	Mở làm mát toàn bộ ghế khách	Can you turn on all passengers seat coolers 	Pouvez-vous allumer tous les refroidisseurs de sièges passagers		
	Mở làm mát ghế khách	I want all passenger seat coolers on 	Active tous les refroidisseurs de sièges passagers		
	Mở làm mát tất cả ghế khách	All passenger seat coolers On 	Allumez les refroidisseurs de tous les sièges passagers		
	Mở làm mát toàn bộ vị trí khách ngồi		Je veux utiliser des refroidisseurs de sièges passagers		
	Mở làm mát các vị trí giành cho khách		Peux-tu allumer tous les refroidisseurs de sièges passagers?		
103	Tắt làm mát toàn bộ ghế khách | Tắt làm mát ghế khách	All passenger cooled seat off/ all passenger seat coolers off 	Éteindre les refroidisseurs de siège de tous les passagers	Schalte alle Kühler der Passagiersitze aus	
	Tắt làm mát toàn bộ ghế khách	Turn off all passenger seat coolers 	Je veux éteindre les refroidisseurs de siège passagers	Schalte alle Kühler der Passagiersitze aus	
	Tắt làm mát ghế khách	Make all passenger seat warm please 	Veuillez arrêter les refroidisseurs de tous les sièges passagers	Deaktivier alle Kühler der Passagiersitze	
	Tắt làm mát tất cả ghế khách	I want to turn off all passenger sear coolers right now 	Éteignez tous les refroidisseurs de siège passagers	Ich brauche Kühler der Passagiersitze nicht mehr	
	Tắt làm mát toàn bộ vị trí khách ngồi	Please turn off all passenger seat coolers 	Éteignez les refroidisseurs de tous les sièges passagers 	Mach alle Kühler der Passagiersitze aus	
	Tắt làm mát các vị trí giành cho khách	All passenger cooled seat off	Je n'ai plus besoin de refroidisseurs de sièges passagers 	Ich möchte alle Kühler der Passagiersitze ausschalten	
	Ngừng làm mát toàn bộ ghế khách	Can you turn off all passengers seat coolers 	Pouvez-vous éteindre tous les refroidisseurs de sièges passagers		
	Ngừng làm mát ghế khách	I want all passenger seat coolers off 	Arrête les refroidisseurs de tous les sièges passagers		
	Ngừng làm mát tất cả ghế khách	All passenger seat coolers Off	Éteins tous les refroidisseurs de siège passagers		
	Ngừng làm mát toàn bộ vị trí khách ngồi		Éteins les refroidisseurs de tous les sièges passagers 		
	Ngừng làm mát các vị trí giành cho khách		Peux-tu éteindre tous les refroidisseurs de sièges passagers?		
104	Bật làm mát toàn bộ ghế sau | Bật làm mát ghế sau	All rear cooled seat on/ all rear seat coolers on 	Allumer tous les refroidisseurs de siège arrière	Schalte Kühler der Rücksitze ein	
	Bật làm mát toàn bộ ghế sau	Turn on all rear passenger seat coolers 	Je veux allumer les refroidisseurs de siège arrière	Schalte Kühler der Rücksitze ein	
	Bật làm mát ghế sau	I want to turn on rear passenger sear coolers 	Veuillez activer les refroidisseurs de tous les sièges passagers arrière	Aktivier Kühler der Rücksitze	
	Bật làm mát toàn bộ ghế sau	Please start coolers of all rear passenger seats 	Activez tous les refroidisseurs de siège arrière	Ich brauche Kühler der Rücksitze	
	Bật làm mát toàn bộ ghế đằng sau	Switch on all rear passenger seat coolers 	Allume les refroidisseurs de tous les sièges passagers arrière	Mach Kühler der Rücksitze an	
	Bật làm mát toàn bộ ghế đằng sau	Turn on coolers of all rear passenger seats 	J'ai besoin des refroidisseurs de sièges passagers arrière	Ich möchte Kühler der Rücksitze einschalten	
	Mở làm mát toàn bộ ghế sau	Cool down all rear passenger seats right now 	Pouvez-vous allumer tous les refroidisseurs de siège passager arrière		
	Mở làm mát ghế sau	Can you please turn on all rear passenger seat coolers 	Active tous les refroidisseurs de siège arrière		
	Mở làm mát toàn bộ ghế sau khu vực xe		Allumez les refroidisseurs de tous les sièges passagers arrière		
	Mở làm mát toàn bộ ghế đằng sau		Je veux activer des refroidisseurs de sièges passagers arrière		
	Mở làm mát toàn bộ ghế đằng sau cho xe		Peux-tu allumer tous les refroidisseurs de siège passager arrière?		
105	Tắt làm mát toàn bộ ghế sau | Tắt làm mát ghế sau	All rear cooled seat off/ all rear seat coolers off 	Éteindre tous les refroidisseurs de siège arrière	Schalte Kühler der Rücksitze aus	
	Tắt làm mát toàn bộ ghế sau	Turn off all rear passenger seat coolers 	Je veux éteindre les refroidisseurs de siège arrière	Schalte Kühler der Rücksitze aus	
	Tắt làm mát ghế sau	I want to turn off rear passenger sear coolers 	Veuillez arrêter les refroidisseurs de tous les sièges passagers arrière	Deaktivier Kühler der Rücksitze	
	Tắt làm mát toàn bộ ghế sau	Please stop coolers of all rear passenger seats 	Éteignez tous les refroidisseurs de siège arrière	Ich brauche Kühler der Rücksitze nicht mehr	
	Tắt làm mát toàn bộ ghế đằng sau	Switch off all rear passenger seat coolers 	Éteignez les refroidisseurs de tous les sièges passagers arrière	Mach Kühler der Rücksitze aus	
	Tắt làm mát toàn bộ ghế đằng sau	Turn off coolers of all rear passenger seats 	Je n'ai plus besoin de refroidisseurs de sièges passagers arrière	Ich möchte Kühler der Rücksitze ausschalten	
	Ngưng làm mát toàn bộ ghế sau	I don't need coolers of rear passenger seats anymore 	Pouvez-vous éteindre tous les refroidisseurs de siège passager arrière		
	Ngưng làm mát ghế sau	Can you please turn off all rear passenger seat coolers 	Éteins tous les refroidisseurs de siège arrière		
	Ngưng làm mát toàn bộ ghế sau cho xe		Éteins les refroidisseurs de tous les sièges passagers arrière		
	Ngưng làm mát toàn bộ ghế đằng sau		Je ne veux plus de refroidisseurs de sièges passagers arrière		
	Ngưng làm mát toàn bộ ghế đằng sau đi		Peux-tu éteindre tous les refroidisseurs de siège passager arrière?		
106	Tăng quạt gió tối đa	Max fan	Ventilateur au maximum	Stell die Lüftung auf maximaler Stufe	
	Tăng quạt gió tối đa	Max the fan	Mettez le ventilateur au maximum	Die Lüftung auf maximaler Stufe	
	Tăng quạt gió mức cao nhất	Set fan to the max 	Réglez le ventilateur sur Max	Stell die Lüftung auf maximaler Stufe	
	Tăng quạt gió mức cực đại	I want to set fan to highest level 	Je veux régler le ventilateur au niveau le plus élevé	Ich brauche Lüftung auf maximaler Stufe	
	Tăng quạt gió to nhất	Can you switch the fan to max 	Pouvez-vous changer le ventilateur en maximum	Ich will Lüftung auf maximaler Stufe	
	Đặt quạt gió tối đa	I need the fan's speed to run as fast as possible 	Réglez la vitesse du ventilateur sur maximum		
	Đặt quạt gió mức cao nhất	Set the fan's speed to max 	J'ai besoin de régler le ventilateur au niveau le plus haut		
	Đặt quạt gió mức cực đại	I need to set the fan to the highest level 	Mettez le ventilateur le plus fort		
	Đặt quạt gió to nhất		Mets le ventilateur au maximum tout de suite		
	Để quạt gió ở mức lớn nhất		Augmente le ventilateur sur Max		
	Quạt gió đặt hết cỡ		Peux-tu régler le ventilateur au niveau le plus élevé?		
107	Giảm quạt gió tối thiểu	Min fan	Ventilateur au minimum	Stell die Lüftung auf minimaler Stufe	
	Giảm quạt gió tối thiểu	Min the fan	Mettez le ventilateur au minimum	Die Lüftung auf minimaler Stufe	
	Giảm quạt gió xuống mức thấp nhất	Set fan to the min	Réglez le ventilateur sur Min	Stell die Lüftung auf minimaler Stufe	
	Giảm quạt gió xuống mức nhỏ nhất	I want to set fan to the lowest level 	Je veux régler le ventilateur au niveau le plus bas	Ich brauche Lüftung auf minimaler Stufe	
	Quạt gió giảm xuống mức bé nhất	Can you switch the fan to min	Pouvez-vous changer le ventilateur en min	Ich will Lüftung auf minimaler Stufe	
	Quạt gió giảm về mức cực nhỏ	I need the fan's speed to run as slow as possible 	Réglez la vitesse du ventilateur sur min		
	Quạt gió giảm xuống về mức tối thiểu	Set the fan's speed to min	J'ai besoin de régler le ventilateur au niveau le plus bas		
	Quạt gió bật ở mức thấp nhất	I need to set the fan to the lowest level 	Peux-tu régler le ventilateur au niveau le plus bas?		
	Quạt gió đặt ở mức nhỏ nhất		Peux-tu diminuer le ventilateur le moins fort possible?		
	Quạt gió để ở mức cực nhỏ		Régle la vitesse du ventilateur sur min		
	Quạt gió chuyển về mức tối thiểu		Mets le ventilateur au minimum		
108	Bật điều hoà khu vực lái	Driver zone air conditioning on/ driver zone AC on 	Activer la climatisation de la zone conducteur	Aktivier Klimaanlage der Fahrerzone ein	
	Bật điều hòa khu vực lái	Turn on AC in driver zone	Allumez la climatisation dans la zone conducteur	Schalte Klimaanlage der Fahrerzone ein	
	Bật điều hòa các vị trí lái	I want the air conditioner of driver zone on 	Je veux allumer le climatiseur de la zone conducteur	Aktivier Klimaanlage der Fahrerzone ein	
	Bật điều hòa ghế lái	Can you please switch on the air conditioning of driver zone 	Pouvez-vous activer la climatisation du siège conducteur	Hilf mir beim Einschalten der Klimaanlage der Fahrerzone	
	Bật điều hòa quanh khu vực lái	Please turn on driver zone AC right now 	Veuillez activer la climatisation de la zone conducteur maintenant	Mach Klimaanlage der Fahrerzone an	
	Bật điều hòa khu lái	Start the driver zone air conditioning 	Allumez l'air conditionné de la zone conducteur	Ich brauche die Klimaanlage der Fahrerzone	
	Mở điều hòa khu vực lái	A/C of driver zone On 	Active la climatisation du siège conducteur	Klimaanlage der Fahrerzone an bitte	
	Mở điều hòa các vị trí lái	Turn on the driver seat's AC 	Activez la climatisation du siège conducteur		
	Mở điều hòa lái	Switch the driver seat's air condition on 	Allume l'air conditionné de la zone conducteur		
	Mở điều hòa quanh khu vực lái		Peux-tu activer la climatisation du siège conducteur?		
	Mở điều hòa khu lái lên đi		Active la climatisation de la zone conducteur tout de suite		
109	Tắt điều hoà khu vực lái	Driver zone air conditioning off/ driver zone AC off	Désactiver la climatisation de la zone conducteur	Deaktivier Klimaanlage der Fahrerzone	
	Tắt điều hòa khu vực lái	Turn off AC in driver zone	Éteignez la climatisation dans la zone conducteur	Schalte Klimaanlage der Fahrerzone aus	
	Tắt điều hòa các vị trí lái	I want the air conditioner of driver zone off	Je veux éteindre le climatiseur de la zone conducteur	Deaktivier Klimaanlage der Fahrerzone ein	
	Tắt điều hòa khu ghế lái cho tôi	Can you please switch off the air conditioning of driver zone 	Pouvez-vous éteindre la climatisation du siège conducteur	Hilf mir beim Ausschalten der Klimaanlage der Fahrerzone	
	Tắt điều hòa quanh khu vực lái	Please turn off driver zone AC right now 	Veuillez désactiver la climatisation de la zone conducteur maintenant	Mach Klimaanlage der Fahrerzone aus	
	Tắt điều hòa ghế tài xế	Stop the driver zone air conditioning 	Arrêtez l'air conditionné de la zone conducteur	Ich brauche die Klimaanlage der Fahrerzone nicht mehr	
	Ngưng điều hòa khu vực lái	A/C of driver zone Off	Éteignez la climatisation du siège conducteur	Klimaanlage der Fahrerzone aus bitte	
	Ngưng điều hòa các vị trí lái	Turn off the driver seat's AC 	Désactivez la climatisation du siège conducteur		
	Ngưng điều hòa khu lái đi	Switch the driver seat's air condition off	Arrête l'air conditionné de la zone conducteur		
	Ngưng điều hòa quanh khu vực lái		Peux-tu éteindre la climatisation du siège conducteur?		
	Ngưng điều hòa ghế tài xế đi		Désactive la climatisation du siège conducteur tout de suite		
110	Bật điều hoà khu vực khách	Passenger zone air conditioning on/ passenger zone AC on 	Activer la climatisation de la zone passagers 	Schalte die Klimaanlage der Passagierzone ein/ Aktivier Klimaanlage der Passagierzone	
	Bật điều hòa khu vực khách	Turn on AC in passenger zone	Allumez la climatisation dans la zone passagers	Schalte die Klimaanlage der Passagierzone ein	
	Bật điều hòa vị trí khách	I want the air conditioner of passenger  zone on 	Je veux allumer le climatiseur de la zone passager	Aktivier Klimaanlage der Passagierzone	
	Bật điều hòa khu khách	Can you please switch on the air conditioning of passenger  zone 	Pouvez-vous activer la climatisation de la zone passagers	Hilf mir beim Einschalten der Klimaanlage der Passagierzone	
	Bật điều hòa cácghế khách	Please turn on passenger zone AC right now 	Veuillez allumer l'air conditionné de la zone passagers maintenant	Mach die Klimaanlage der Passagierzone an	
	Bật điều hòa khách cho tôi	Start the passenger  zone air conditioning 	Allume la climatisation de la zone passagers	Ich brauche Klimaanlage der Passagierzone	
	Mở điều hòa khu vực khách	A/C of passenger  zone On 	Active la climatisation du siège passager	Klimaanlage der Passagierzone an bitte	
	Mở điều hòa vị trí khách	Turn on the passenger  seat's AC 	Activez la climatisation du siège passager	Ich möchte die Klimaanlage der Passagierzone einschalten	
	Mở điều hòa ghế khách hộ tôi phát	Switch the passenger seat's air condition on 	Allume la clim des sièges passagers		
	Mở điều hòa các vị trí khách cho tôi		Peux-tu activer la climatisation de la zone passagers?		
	Mở điều hòa ghế lái phụ		Peux-tu allumer l'air conditionné de la zone passagers maintenant?		
111	Tắt điều hoà khu vực khách	Passenger zone air conditioning off/  passenger zone AC off	Désactiver la climatisation de la zone passagers 	Schalte die Klimaanlage der Passagierzone aus/ Deaktivier Klimaanlage der Passagierzone	
	Tắt điều hòa khu vực khách	Turn off AC in passenger zone	Éteignez la climatisation dans la zone passagers	Schalte die Klimaanlage der Passagierzone aus/	
	Tắt điều hòa vị trí khách	I want the air conditioner of passenger zone off	Je veux éteindre le climatiseur de la zone passager	Deaktivier Klimaanlage der Passagierzone	
	Tắt điều hòa khu vực ghế khách	Can you please switch off the air conditioning of passenger zone 	Pouvez-vous éteindre la climatisation de la zone passagers	Hilf mir beim Ausschalten der Klimaanlage der Passagierzone	
	Tắt điều hòa các vị trí khách cho tôi	Please turn off passenger zone AC right now 	Veuillez désactiver la climatisation de la zone passagers maintenant	Mach die Klimaanlage der Passagierzone aus	
	Tắt điều hòa khu vực ghế khách cho tôi luôn nhé	Stop the passenger  zone air conditioning 	Arrêtez la climatisation de la zone passagers	Ich brauche Klimaanlage der Passagierzone nicht mehr	
	Ngừng điều hòa khu vực khách	A/C of passenger  zone Off	Éteignez la climatisation du siège passagers	Klimaanlage der Passagierzone aus bitte	
	Ngừng điều hòa vị trí khách	Turn off the passenger  seat's AC 	Désactivez la climatisation du siège passager	Ich möchte die Klimaanlage der Passagierzone einschalten	
	Ngừng điều hòa ghế lái phụ	Switch the passenger seat's air condition off	Arrête la climatisation de la zone passagers		
	Ngừng điều hòa các vị trí ghế khách		Éteins la climatisation du siège passagers		
	Thôi không cần bật điều hòa khách nữa đâu tắt đi giúp tôi		Désactive la climatisation du siège passagers		
112	Bật nhạc | phát nhạc |nhạc	Play music | music |	Écouter de la musique	Spiel Musik/Musik 	
	Bật nhạc	Play music  	Jouez de la musique	Spiel Musik	
	Phát nhạc	Music on 	Allumez la musique		
	Nhạc	Music   	La musique	Musik bitte	
	Trình phát nhạc	Music player 	Lecteur de musique		
	Âm nhạc	Start the music 	Lancez la musique		
	Khởi động âm nhạc	I want to listen to music 	Je veux écouter de la musique	Ich will Musik hören	
	Nghe nhạc	Turn on the music 	Mets de la musique		
	Âm nhạc bật lên	I need music right now 	J'ai besoin de la musique maintenant	Ich brauche Musik	
	Nhạc bật lên đi		Joue de la musique		
	Nhạc bật lên		Allume la musique		
113	Bật nhạc từ USB | mở nhạc từ USB | phát nhạc từ USB| nhạc từ USB | nhạc USB | Phát nhạc qua điện thoại/USB/đài | Chuyển nguồn phát qua điện thoại/USB/đài	Play music from USB/phone/radio | Play USB/phone/radio	Écouter de la musique depuis USB / téléphone / radio | Lecture USB / téléphone / radio	Spiel Musik vom USB-Stick ab	
	Bật nhạc từ USB	Play music from USB  	Écoutez de la musique depuis USB		
	Mở nhạc từ USB	Get music from USB 	Obtenez de la musique via USB		
	Phát nhạc từ USB	Turn on music from USB 	Activez la musique depuis USB	Spiel Musik vom USB-Stick ab	
	Chơi nhạc từ USB	Music from USB 	Musique depuis USB	Musik vom USB-Stick	
	Nhạc từ USB	I want music from USB	Je veux de la musique sur USB	Ich will Musik vom USB-Stick 	
	Nhạc USB	Play USB 	Jouez de la musique sur USB		
	Trình phát nhạc từ nguồn USB	Start the music from USB 	Démarrez la musique depuis USB		
	Khởi động nhạc từ đầu USB		Joue de la musique sur USB		
	Phát nhạc từ nguồn usb		Démarre la musique depuis USB		
	Mở nhạc từ nguồn usb		Peux-tu jouer de la musique depuis USB pour moi?		
	Nghe nhạc từ USB 			Hör Musik vom USB-Stick	
114	Bật nhạc từ Bluetooth | mở nhạc từ bluetooth | phát nhạc từ bluetooth | nhạc từ bluetooth | nhạc bluetooth	Play music from Bluetooth | Play bluetooth	Écouter de la musique depuis Bluetooth | Jouer Bluetooth	Spiel Musik vom Bluetooth ab	
	Bật nhạc từ Bluetooth	Play music from Bluetooth 	Écoutez de la musique depuis Bluetooth		
	Mở nhạc từ bluetooth	Play bluetooth 	Jouez Bluetooth		
	Phát nhạc từ bluetooth	Music from bluetooth 	Musique de Bluetooth	Spiel Musik vom Bluetooth ab	
	Nhạc từ bluetooth	Turn on music from bluetooth 	Activez la musique depuis Bluetooth	Musik vom Bluetooth	
	Chơi nhạc qua bluetooth	I want music from bluetooth 	Je veux de la musique via Bluetooth	Ich will Musik vom Bluetooth	
	Trình phát nhạc từ nguồn bluetooth	Start the music from bluetooth 	Démarrez la musique depuis Bluetooth		
	Nhạc từ bluetooth	Get music from bluetooth 	Obtenez de la musique via Bluetooth		
	Nhạc bluetooth		Joue Bluetooth		
	Chơi nhạc từ bluetooth		Démarre la musique depuis Bluetooth		
	Nghe nhạc từ bluetooth		Active la musique depuis Bluetooth	Hör Musik vom Bluetooth	
115	Tắt âm thanh | im lặng	Mute | Mute music | Mute media	Musique muette | Éteindre le média 	Lautlos	
	Tắt âm thanh	Mute the music 	Éteignez la musique	Lautlos	
	Bật chế độ im lặng	mute media 	Éteins le son des médias	Aktivier den Modus Lautlos	
	Chuyển sang chế độ im lặng	Switch the music to silent 	Passez en mode silencieux	Stell auf Lautlos	
	Chuyển qua chế độ im lặng	Turn on silent mode 	Activez le mode silencieux		
	Mở chế độ im lặng	Change to silent mode 	Passe en mode silencieux		
	Chuyển chế độ im lặng	Mute all sounds	Éteins la musique		
	Chỉnh sang chế độ im lặng	Mute 	Éteignez le son des médias		
	Chỉnh qua chế độ im lặng		Passe en mode silencieux		
	Bật im lặng		Active le mode silencieux		
	Chọn chế độ âm thanh là kiểu im lặng		Peux-tu passer en mode silencieux?		
116	Bật âm thanh	Unmute | Unmute music | Unmute media	Activer la musique | Activer le son des médias	Ton/ Aktiver den Modus Ton/ Stell auf Ton	
	Bật âm thanh	Unmute the music 	Activez la musique		
	Mở âm thanh	Unmute media 	Activez le son des médias		
	Bật âm lượng	Unmute 	Activez le son	Ton	
	Bật chế độ âm thanh	Switch to sound mode 	Passez en mode son	Aktivier den Modus Ton	
	Bật chế độ âm thanh	Change to sound mode 	Choisissez le mode sonore	Stell auf Ton	
	Mở âm lượng	Choose sound mode 	Active la musique		
	Chọn chế độ âm thanh	Turn off silent mode 	Active le son des médias		
	Bật chế độ âm thanh kiểu âm thanh		Active le son		
	Chọn chế độ âm thanh kiểu âm thanh		Passe en mode son		
	Chế độ âm thanh theo kiểu âm thanh		Peux-tu passer en mode sonore?		
117	Tắt nhạc | đóng ứng dụng nhạc | tắt ứng dụng nhạc	Close music	Annuler la musique/ Arrêter la lecture de musique	Stopp Musik	
	Tắt nhạc	Close the music 	Fermez la musique		
	Ngưng nhạc	Shut down music 	Arrêtez la musique	Ich will Musik nicht mehr hören	
	Dừng nhạc	Finish music playing 	Je ne veux plus de musique	Stopp Musik 	
	Hủy phát nhạc	End music playing 	Stoppez la musique		
	Bỏ phát nhạc	Close music app 	Annulez la musique		
	Thôi phát nhạc	End music 	Ferme la musique		
	Đóng ứng dụng nhạc		Arrête la musique	Ich will keine Musik mehr	
	Tắt trình phát nhạc		Je ne veux plus écouter de la musique		
	Tắt ứng dung phát nhạc		Stoppe la musique tout de suite		
	Hủy ứng dụng nhạc		Annule la musique pour moi		
118	Chơi nhạc	Play music 	Activer la musique/ jouer la musique	Spiel Musik 	
	Chơi nhạc	Play music 	Activez la musique	Spiel Musik 	
	Chơi âm nhạc	Play the music right now 	Je veux écouter de la musique		
	Chơi nhạc ngay bây giờ	I want music now 	Jouez la musique	Ich will Musik sofort 	
	Chơi nhạc luôn đi	Play music please 	Tu peux allumer la musique?		
	Chơi nhạc cho tao	I need to listen to music 	Active la musique	Ich brachue Musik	
	Chơi âm nhạc cho tao	Can you play music please 	Je veux écouter de la musique maintenant		
	Tao muồn chơi nhạc	Play music for me 	Joue la musique		
	Tao cần chơi nhạc	Turn on the music 	Tu peux allumer la musique pour moi?		
	Tao muốn chơi nhạc	Continue the music 	Peux-tu allumer la musique?	Ich will Musik hören	
	Mày có thể chơi nhạc không		Allume la musique		
119	Dừng | ngừng | tạm dừng | dừng nhạc | ngừng nhạc |	Pause | Stop music	Arrêter la musique	pausier die Musik/ stopp Musik 	
	Dừng nhạc lại đi	Pause the music 	Arrêtez la musique	pausier die Musik 	
	Ngừng nhạc lại đi	Stop the music 	Je ne veux plus écouter de la musique	stopp Musik 	
	Ngưng hết nhạc nhẽo đi	Stop music 	Stoppez la musique		
	Tạm dừng nhạc lại	No more music 	Éteignez la musique	keine Musik mehr	
	Dừng nhạc		Tu peux éteindre la musique?	Ich will nicht mehr Musik hören	
	Thôi nhạc		Arrête la musique		
	Ngừng nhạc		Je ne veux plus de la musique		
	Ngưng nhạc		Stoppe la musique		
	Bỏ phát nhạc		Éteins la musique		
	Hủy phát nhạc		Éteins la musique pour moi		
120	Phát lại tất cả | phát lại toàn bộ bài hát | phát lại toàn bộ	Repeat all	Activer la répétition de toutes les chansons/ Répéter la lecture de cette playlist	Wiederhol alle Lieder	
	Phát lại tất cả	Repeat all 	Active la répétition de ces chansons		
	Phát lại toàn bộ bài hát	Play all songs again 	Répète la lecture de ces chansons	Wiederhol alle Lieder	
	Phát lại toàn bộ	Repeat all songs	Répétez la lecture de cette playlist		
	Chọn chế độ nghe lại toàn bộ bài hát	I want to play all songs one more time 	Répétez cet album	Ich möchte alle Lieder noch einmal abspielen	
	Chơi nhạc theo chế độ phát lại tất cả	Replay all songs 	Je veux réécouter cette playlist		
	Phát lại toàn bộ nhạc	I want to listen to all songs again 	Rejouez cet album	Ich möchte alle Lieder noch einmal hören	
	Phát lại toàn bộ danh sách nhạc	Play all songs in my list one more time 	Répète la lecture de cette playlist	Spiel alle Lieder in meiner Lister noch einmal ab	
	Phát lại toàn bộ bài hát trong danh sách		Répète cet album	Spiel das Album noch einmal ab	
	Bật phát lại tất cả		Rejoue cet album		
	Mở chế độ phát lại toàn bộ bài hát		Pouvez-vous rejouer cet album?		
121	Phát lại một bài | phát lại	Repeat one | repeat	Activer la répétition d'une chanson	Wiederhol dieses Lied	
	Phát lại một bài	Repeat one song 	Active la répétition de cette chanson		
	Phát lại	Replay 	Répète la lecture de cette chanson		
	Bật chế độ phát lại một bài	Repeat this song 	Répétez la lecture de cette chanson		
	Mở chế độ phát lại một bài	Replay one song 	Répétez ce morceau de musique		
